ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
901	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2	299	269
902	0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1	329	269
904	0,0,0,3,0,0,0,3,1,0,0,0,0,0,6,0	0,0,1,8,5,5,0,8,1,0,0,7,3,0,53,0	0,0,0,1,0,0,0,2,3,0,0,0,1,0,6,0	0,4,1,2,0,5,0,16,0,12,0,5,0,1,32,2	324	269
908	2,7,17,28,43,98,49,23,28,53,199,144,10,67,93,70	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	1,5,12,22,82,79,37,52,26,40,225,77,15,48,79,62	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1000	269
909	55,193,137,130,173,70,192,78,204,97,439,248,9,172,67,113	4,27,11,14,23,16,18,8,30,5,48,34,0,20,5,17	105,142,147,148,86,103,158,106,221,67,404,128,10,114,48,92	6,14,24,12,8,12,22,11,12,6,25,13,1,10,9,6	275	269
911	0,1,1,0,1,1,0,0,0,0,6,6,0,2,0,3	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,5,0,1,4,0,0,3,0,0,3,0,1	0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0	440	269
912	0,4,1,1,0,0,0,0,0,1,0,4,0,1,0,2	0,0,4,6,0,0,0,0,0,0,2,0,0,1,0,1	0,2,3,1,0,0,0,0,3,0,3,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1	274	269
913	81,109,75,67,20,35,2,17,60,22,0,37,3,94,57,58	14,28,14,9,9,8,0,6,23,0,1,7,2,12,4,13	6,89,127,56,46,49,0,38,38,15,1,23,10,70,58,111	0,14,23,12,4,9,1,11,11,7,0,4,1,4,11,28	272	269
914	6,1,0,2,1,0,0,1,2,4,0,2,0,2,5,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,9,3,1,2,0,5,1,0,0,0,0,3,8,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	272	269
916	0,0,0,0,2,4,33,1,0,2,68,36,1,1,1,0	0,2,0,2,6,14,59,10,0,7,83,84,0,8,2,18	0,0,0,0,43,3,30,7,2,0,85,21,1,5,6,10	0,1,1,0,39,17,58,17,3,41,132,39,0,14,2,22	272	269
