ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
835	0,2,0,0,3,2,0,2,4,0,10,5,0,5,1,6	88,84,154,113,309,109,69,98,208,311,430,200,15,384,29,233	0,0,3,3,9,0,1,3,1,6,11,1,0,0,0,1	50,128,120,162,140,76,35,73,363,212,167,208,11,127,26,169	350	269
836	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	151,273,495,301,811,431,221,256,750,1144,1311,698,23,1251,110,1002	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0	175,379,367,475,462,295,179,243,1118,918,813,705,21,471,88,721	276	269
837	178,392,639,367,934,489,244,278,996,1405,1453,807,26,1511,125,1241	0,0,0,0,1,3,1,0,1,0,1,5,0,1,0,1	244,508,455,575,543,337,218,253,1401,1163,885,819,29,587,102,930	1,0,0,2,0,2,1,0,3,0,2,0,0,1,1,0	478	269
838	4,2,13,4,15,4,4,2,18,13,31,11,1,24,3,20	275,740,1047,559,943,528,301,292,1870,1356,1415,786,27,1477,119,1252	5,16,5,4,4,6,3,1,18,14,4,7,0,3,0,11	440,1031,706,1092,426,446,211,244,2041,1058,734,668,24,554,89,805	277	269
839	3,6,14,4,16,6,4,1,21,13,32,15,0,21,3,20	0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0	5,17,5,3,2,6,3,1,22,18,4,10,0,5,0,11	0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0	500	269
840	387,875,1752,744,1490,574,375,371,2324,1900,1966,1052,54,1969,153,1645	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	608,1272,891,1319,508,473,294,304,2325,1252,859,762,47,646,139,850	0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0	538	269
842	2,0,3,3,1,7,0,1,0,1,6,11,0,5,6,7	5,0,0,0,4,2,0,1,0,1,8,29,0,4,2,11	0,0,5,0,7,3,2,5,3,6,5,1,0,8,3,17	1,0,3,1,1,4,0,3,0,0,10,4,0,8,3,8	271	269
843	2,7,5,7,12,7,11,8,6,25,27,26,0,7,5,15	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	2,2,3,7,17,13,6,2,1,2,17,8,0,14,1,16	0,0,1,0,0,1,1,1,1,0,2,0,0,2,0,1	304	269
844	0,0,1,2,2,3,0,1,0,0,4,0,0,0,0,5	0,0,3,0,0,5,0,0,1,0,2,0,0,3,0,7	1,0,5,0,0,3,0,0,6,1,2,2,0,1,0,6	0,0,1,2,3,0,0,1,0,0,0,2,0,2,0,0	422	269
846	1,0,0,3,0,3,1,0,0,1,4,1,0,2,0,0	0,1,2,0,3,27,11,1,2,0,6,13,0,3,3,5	0,0,1,1,2,3,4,0,1,0,2,1,0,2,2,1	0,1,12,0,4,14,2,3,1,10,3,8,0,4,2,3	277	269
