ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
343	0,48,88,0,0,26,2,0,2,0,0,1,0,7,4,0	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0	0,48,90,0,0,16,0,0,0,0,0,0,0,2,0,2	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	403	269
356	0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0	0,0,0,0,13,0,0,3,1,0,39,6,0,2,0,5	0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0	0,1,1,0,5,0,3,2,3,21,39,1,0,3,3,1	538	269
359	0,0,0,0,0,0,6,0,0,0,17,1,0,0,0,1	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	0,0,3,0,3,0,3,0,0,0,18,3,0,0,0,0	0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0	538	269
360	0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0	0,0,0,0,0,0,12,0,0,0,84,0,0,0,0,0	0,0,3,0,0,0,2,0,0,0,8,3,0,0,0,0	0,0,0,0,5,0,16,0,0,0,82,0,0,0,0,3	538	269
384	0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0	336	269
385	0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	343	269
386	1,0,0,1,0,3,0,0,0,0,1,1,0,0,6,1	0,2,0,0,0,2,0,0,0,0,0,2,0,1,3,0	0,0,1,0,0,4,0,0,0,0,0,1,2,0,0,0	0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0	367	269
387	17,19,27,22,8,123,0,2,17,34,12,28,4,39,130,56	1,0,0,0,3,5,2,2,0,0,0,0,0,0,3,1	6,8,31,41,19,128,4,2,22,46,2,1,12,35,96,66	0,2,1,5,0,2,0,0,2,2,0,0,0,1,4,4	349	269
389	0,2,0,1,0,0,1,0,1,1,1,4,0,0,1,1	22,46,49,71,54,36,43,30,36,89,75,55,3,107,14,100	0,6,1,1,1,2,1,0,0,7,1,0,0,1,0,2	7,48,66,63,80,37,20,36,38,36,97,43,3,96,27,112	340	269
392	0,0,0,0,0,3,9,0,0,0,0,8,0,0,0,0	0,0,1,1,2,0,40,1,8,0,6,18,1,6,13,8	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1	0,0,0,1,5,0,22,4,5,4,14,7,0,8,7,7	538	269
393	7,15,12,22,47,178,10,27,7,96,94,363,0,80,18,90	0,0,2,1,1,3,0,2,2,1,8,4,0,0,2,0	0,16,17,7,153,151,3,43,0,92,146,194,1,206,16,194	0,0,0,2,4,6,0,0,0,0,2,6,0,8,0,6	352	269
395	2,6,2,2,36,7,5,18,2,38,24,35,0,24,5,13	0,2,2,2,27,23,6,20,8,29,52,73,0,41,4,24	2,0,2,0,20,13,2,20,0,15,50,21,0,21,17,39	3,6,7,10,39,25,5,30,2,32,75,37,0,40,11,38	495	269
399	16,17,28,11,21,10,7,5,22,47,23,19,2,28,1,39	151,273,495,301,811,431,221,256,750,1144,1311,698,23,1251,110,1002	15,21,22,17,7,8,7,3,31,37,21,21,0,19,3,25	175,379,367,475,462,295,179,243,1118,918,813,705,21,471,88,721	446	269
400	20,22,55,18,43,25,13,15,62,93,91,31,2,73,4,59	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	21,40,31,40,21,15,10,15,77,89,49,54,1,35,7,48	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0	438	269
401	38,68,113,67,99,71,65,53,183,192,293,119,1,200,8,143	121,461,654,266,526,334,140,162,1054,839,649,472,16,883,73,850	49,139,77,93,67,59,21,34,247,178,133,102,3,78,16,82	173,630,520,600,244,253,102,122,1292,635,346,472,7,334,71,545	391	269
402	31,51,112,30,76,47,25,22,109,143,164,65,2,132,9,102	275,740,1047,559,943,528,301,292,1870,1356,1415,786,27,1477,119,1252	35,78,52,69,27,34,14,19,134,117,72,68,1,50,7,63	440,1031,706,1092,426,446,211,244,2041,1058,734,668,24,554,89,805	457	269
403	28,50,101,26,63,43,23,21,91,130,135,56,2,111,6,82	1,0,2,0,0,0,2,1,0,0,2,1,1,3,0,0	30,65,48,66,25,28,11,18,116,103,68,61,1,47,7,52	0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0	448	269
404	20,22,55,16,36,28,10,16,58,94,96,29,1,67,6,48	407,930,1740,715,1569,592,394,399,2397,2056,2094,984,45,2149,151,1804	25,37,29,37,21,13,6,15,85,81,43,51,1,30,6,42	582,1309,874,1354,566,461,293,321,2519,1387,977,772,42,737,134,968	538	269
405	32,63,80,39,60,28,14,16,122,107,124,35,2,93,8,60	387,875,1752,744,1488,574,375,369,2322,1897,1962,1046,54,1965,153,1644	62,73,50,71,29,24,12,14,148,98,55,56,3,40,6,55	607,1271,890,1319,508,473,294,303,2318,1252,854,761,47,646,139,844	455	269
415	0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0	388,507,444,863,848,663,397,693,908,575,1250,1281,156,1113,775,755	0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0	566,585,782,1006,697,618,339,575,830,378,962,1010,137,686,639,659	538	269
416	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0	414	269
418	0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,5	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2	0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0	538	269
422	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0	346	269
423	0,0,3,4,21,4,0,1,15,11,3,1,0,6,0,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,5,1,7,21,4,0,3,2,23,3,5,1,4,1,14	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	358	269
426	0,2,0,1,2,0,1,1,1,3,18,16,0,8,0,7	11,38,35,13,69,47,34,20,42,72,212,102,1,99,13,88	0,2,0,2,2,2,0,7,2,3,9,4,0,2,0,4	6,29,52,45,40,42,34,42,106,75,226,65,0,65,5,73	469	269
427	0,0,1,0,4,0,5,0,5,1,10,1,0,9,0,10	7,30,29,9,65,39,31,24,27,67,198,112,0,100,12,54	0,0,0,1,2,1,4,3,4,1,6,4,0,4,0,2	7,25,40,37,30,36,29,42,88,76,196,62,1,44,4,54	469	269
428	0,1,1,0,5,3,8,3,7,11,20,13,0,14,1,16	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,1,4,1,3,3,5,4,22,7,0,4,1,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	538	269
429	0,4,0,2,11,5,9,7,2,14,44,47,0,14,1,13	3,23,23,4,31,24,27,21,31,64,140,54,0,71,11,31	1,3,5,3,9,3,6,6,16,25,48,7,1,10,1,15	7,14,32,26,29,38,27,18,54,45,129,47,0,37,5,35	538	269
431	0,1,4,0,6,5,1,0,0,1,5,3,1,4,1,5	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	2,1,3,1,10,4,4,0,0,0,4,0,1,2,1,7	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	331	269
432	0,12,4,5,0,9,0,0,5,5,4,2,0,2,1,1	13,10,12,15,28,123,2,30,16,36,28,187,12,58,55,72	0,10,10,1,6,4,0,1,6,6,3,1,0,3,1,4	2,16,20,10,82,123,5,47,3,39,26,81,3,72,45,78	538	269
433	0,12,4,5,0,9,0,0,5,5,4,2,0,2,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,10,10,1,6,4,0,1,6,6,3,1,0,3,1,4	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0	530	269
437	0,0,0,0,1,0,3,0,3,2,1,0,0,0,0,3	0,0,0,0,0,0,9,0,1,6,8,3,0,4,0,9	0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,2	0,0,0,0,4,0,6,0,1,6,8,9,0,1,0,6	530	269
438	0,0,0,0,1,0,3,0,3,2,1,0,0,0,0,3	0,0,0,1,17,0,66,0,2,72,70,24,0,16,0,56	0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,2	0,0,1,0,21,0,33,0,0,42,58,10,0,19,0,40	500	269
439	0,0,0,0,1,0,3,0,3,2,1,0,0,0,0,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	538	269
440	0,0,0,0,1,0,3,0,3,2,1,0,0,0,0,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,2	0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0	538	269
445	0,1,0,4,6,1,0,0,3,2,12,6,0,8,2,7	17,75,82,88,250,108,58,272,124,200,542,268,5,303,101,333	1,0,0,0,5,3,3,6,2,1,3,7,0,3,2,5	50,59,81,126,240,120,50,291,108,191,458,286,5,240,88,304	382	269
447	0,0,0,1,0,1,2,0,0,0,3,2,0,2,0,2	1,16,10,4,16,23,7,15,5,43,67,139,1,40,8,50	0,3,0,1,2,1,2,0,0,0,3,1,0,0,0,5	0,10,5,1,67,51,7,41,14,34,77,63,0,93,5,124	538	269
452	0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,2	0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0	394	269
