ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	IncLevel1	IncLevel2	IncLevelDifference
513	0,0,0,6,3,7,0,1,1,0,1,3,0,0,2,0	0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0	0,0,0,6,0,0,0,0,4,0,0,2,1,1,5,0	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	437	269	NA,NA,NA,0.787,1.0,1.0,NA,1.0,1.0,NA,0.381,0.27,NA,NA,1.0,NA	NA,NA,NA,0.649,NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,1.0,NA	-0.137
518	7,61,76,29,56,24,20,30,98,117,119,45,5,91,12,126	33,188,183,130,190,102,79,135,360,318,469,161,5,332,73,351	52,88,78,57,65,33,10,43,103,159,81,21,1,88,13,128	169,319,259,225,204,74,76,154,213,210,436,131,11,256,77,346	479	269	0.106,0.154,0.189,0.111,0.142,0.117,0.124,0.111,0.133,0.171,0.125,0.136,0.36,0.133,0.085,0.168	0.147,0.134,0.145,0.125,0.152,0.2,0.069,0.136,0.214,0.298,0.094,0.083,0.049,0.162,0.087,0.172	0.006
520	1,14,1,12,3,7,1,5,7,1,42,2,1,17,1,15	57,214,310,274,163,242,77,142,572,185,324,243,17,313,119,230	4,10,15,3,2,8,6,1,4,8,8,2,0,5,4,7	238,210,257,464,151,213,48,154,521,211,323,189,23,178,110,324	583	269	0.008,0.029,0.001,0.02,0.008,0.013,0.006,0.016,0.006,0.002,0.056,0.004,0.026,0.024,0.004,0.029	0.008,0.021,0.026,0.003,0.006,0.017,0.055,0.003,0.004,0.017,0.011,0.005,0.0,0.013,0.017,0.01	0.002
521	1,5,5,11,3,4,5,3,19,8,16,3,1,7,3,14	4,2,5,0,0,0,3,1,0,0,0,0,0,0,0,0	15,4,14,13,3,9,2,8,17,9,16,7,0,9,2,14	2,7,4,0,0,11,1,0,0,0,1,0,1,0,1,0	1389	269	0.046,0.326,0.162,1.0,1.0,1.0,0.244,0.367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.592,0.1,0.404,1.0,1.0,0.137,0.279,1.0,1.0,1.0,0.756,1.0,0.0,1.0,0.279,1.0	0.1
528	6,6,1,5,3,39,6,0,2,28,5,27,1,11,5,13	12,11,8,13,54,105,42,33,16,40,205,252,5,60,44,97	0,11,4,9,9,22,2,4,5,21,15,1,1,15,4,9	0,13,7,4,114,96,36,57,9,47,240,84,3,106,19,156	2034	269	0.062,0.067,0.016,0.048,0.007,0.047,0.019,0.0,0.016,0.085,0.003,0.014,0.026,0.024,0.015,0.017	NA,0.101,0.07,0.229,0.01,0.029,0.007,0.009,0.068,0.056,0.008,0.002,0.042,0.018,0.027,0.008	-0.016
531	0,0,0,0,2,0,0,4,1,0,9,22,0,1,0,4	0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0	0,1,0,4,4,0,1,4,1,2,13,24,0,6,0,13	0,0,0,0,1,0,0,0,0,0,1,3,0,4,0,0	471	269	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,0.0,1.0,0.863,NA,0.222,NA,1.0	NA,1.0,NA,1.0,0.696,NA,1.0,1.0,1.0,1.0,0.881,0.82,NA,0.461,NA,1.0	-0.136
533	4,6,8,21,26,18,1,16,16,21,16,52,3,47,24,18	0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0	0,3,4,24,34,20,0,39,14,4,6,42,1,24,17,37	0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1	389	269	1.0,1.0,1.0,0.784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.947,1.0,0.97,1.0,1.0	NA,1.0,1.0,1.0,0.922,1.0,NA,1.0,1.0,1.0,1.0,0.967,1.0,0.943,1.0,0.962	-0.004
535	0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0	2,22,18,11,28,6,19,21,23,33,70,134,0,27,20,44	0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0	2,14,17,10,54,12,18,31,31,52,99,91,3,57,14,41	681	269	0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.006,0.003,NA,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0	-0.0
536	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,45,35,37,72,49,559,31,49,92,508,136,2,92,26,160	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0	6,54,37,19,89,61,477,43,73,141,578,60,3,117,21,194	1269	269	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	-0.0
537	0,0,0,1,1,3,2,0,0,0,2,1,0,0,0,2	17,39,29,22,83,160,53,96,12,214,279,306,11,188,106,311	0,0,0,0,1,1,0,1,0,1,0,3,0,0,2,0	1,15,26,31,195,172,68,87,44,153,283,205,6,204,75,346	1128	269	0.0,0.0,0.0,0.011,0.003,0.004,0.009,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.002	0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.003,0.0,0.002,0.0,0.003,0.0,0.0,0.006,0.0	0.001
